Artefacto,Existe,Bytes,SHA256
tensores/Exp04/tensor_X.npy,True,145280,de32f7ea765f7d8cf57972f66b88819de2d69407de38dd0ed383497bff1679c8
tensores/Exp04/tensor_X_raw.npy,True,145280,d53c19260b865229f522f6a7c2b1c3e24c7b0de96c4ebb534011ce0e3b9f9e56
tensores/Exp04/tensor_y.npy,True,1472,39140a0d394bf6495ac42445e2007e0cb498e227daf79ef5238dd45418702be9
tensores/Exp04/metadata_split.csv,True,19427,1223d4fcf6c488c05a151a9809b1d3c5c541c6467059e9b1b7a763c82b800fa1
tensores/Exp04/metadata_tensor.csv,True,1014,7a200f81b8980aa5c15d45fb7344a005a2dfd93f76f73bb810ae45410c8e4846
tensores/Exp04/metadata_tensor.xlsx,True,5787,a6a7fb59c75cc432e14f8472c40c92afe79e2fc05f94334d048a2aa194f72cbe
modelos/Exp04/modelo_Exp04_VolumenUtilDiarioMasa.keras,True,104891,4d2a48221cd75c77b16cb736a01256190ad057d801769d5eea99beb6992ea430
modelos/Exp04/metadata_modelo.csv,True,1014,7a200f81b8980aa5c15d45fb7344a005a2dfd93f76f73bb810ae45410c8e4846
diagnosticos/Exp04/diagnostico_modelo_Exp04.csv,True,371,63fb1cf60321f34975b1d19cfd61cf4cde3863de8b81194d580e8d2490eb963d
diagnosticos/Exp04/diagnostico_modelo_Exp04.xlsx,True,5290,ab9f0c37c1d7e38b73186971006caf232331325d2f9fd1ca1eb11c4a7aaac722
diagnosticos/Exp04/recomendaciones_Exp04.csv,True,504,2fca6cb0c03131dcc018ec67c5b57bae03017706d34b9647ff4be6d1481f5e70
resultados/Exp04/predicciones_prueba_Exp04.csv,True,6391,778b2d32e3035857c84f72c827661ca4e16ac097137de1ab012814efa1658b0e
resultados/Exp04/loss_Exp04.png,True,147623,408de0766c3541138f5292c31f27ec7c4e1e223a01ea7e4f0c73b0d916e0fe3d
resultados/Exp04/mae_Exp04.png,True,156901,4a2a2afdabca6591773b14dc466077692b3217195f8d8e94e244a6143782e921
resultados/Exp04/registro_Exp04.csv,True,1094,dc9d5bba6b8d32e871c6aef5369f7850c3e7663c7aa7870272aab09576b55cd7
resultados/Exp04/registro_Exp04.xlsx,True,5903,97621d7afb50aa057f1bbbd92eae84f92172616208e34feee39b16c4ad30d092
modelos/Exp04/scaler.pkl,True,639,fcb6194643658e075d055ab773184b340f02f4e0f566efc4403955e382344f73
modelos/Exp04/scaler_y.pkl,True,623,e795006afcdb3bd6fcdc9d805c8134fd69a68d3c3bce410f1aac62dcb88655d1
