Archivo,Existe,Bytes,SHA256
predicciones/Exp04/predicciones.csv,True,49560,53eed09063648859dfbcd2c859b162144a3ac251a4390f2044fb11a64864b603
predicciones/Exp04/predicciones.xlsx,True,35481,445c53e671ed46e3f2ce935b41a63db2c8b139f83eb2c18b36d2bbedd3d2c994
predicciones/Exp04/predicciones_prueba.csv,True,7807,54b51e57101f979ac4c1098dcb397cff437f6021ec8af4649271c6d15ec66587
predicciones/Exp04/metricas_particiones.csv,True,551,6b065b38b5cd74726c5e2dacea7e2677b39d66880666e0e7e8aa99ac02d50100
predicciones/Exp04/metricas_particiones.xlsx,True,5439,29023cb3184feddb18db1d97d46e701bd1f2925a671f48202c02438d17b0f9d3
predicciones/Exp04/metricas_por_nodo.csv,True,592,1844d0a753f481bce81b4098cf581e2cffbcc945467f6e5ed43736f39adb091c
predicciones/Exp04/metadata_prediccion.csv,True,1069,2afabf3d2a5308bdb3da30aaa21d09b99d3f7d7bf4531392aca482ae0bef68ca
predicciones/Exp04/metadata_prediccion.xlsx,True,5823,de5c0df8557cff6f43cf29dd37344eabcfb0f7f628d32a81dbaf55089b03d897
predicciones/Exp04/validacion_integridad.csv,True,407,4757e60fca98221766b231d92b95e50b33a8b22b54d829865a1e71c9ed136722
predicciones/Exp04/real_vs_pred_Exp04.png,True,92957,ad9645eda9ef1c651e99850879beb4109803f78fd418750cb3b572ee41309b5f
predicciones/Exp04/baselines.csv,True,149,75cf5880d76a88555a1713f1d52a98a0403ccd578b95351bab2ad76463215511
